pair_id,label,feat_A,feat_B,video_id,frame_w,frame_h,track_id_A,track_id_B
Vid-20260421-Wa0023_A001_B002_f0000,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0000_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0000_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0000,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0000_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0000_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0000,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0000_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0000_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0000,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0000_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0000_B.npy,Vid-20260421-Wa0023,848,480,1,5
Vid-20260421-Wa0023_A001_B006_f0000,C,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0000_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0000_B.npy,Vid-20260421-Wa0023,848,480,1,6
Vid-20260421-Wa0023_A001_B002_f0004,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0004_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0004_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0004,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0004_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0004_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0004,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0004_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0004_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0004,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0004_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0004_B.npy,Vid-20260421-Wa0023,848,480,1,5
Vid-20260421-Wa0023_A001_B006_f0004,C,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0004_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0004_B.npy,Vid-20260421-Wa0023,848,480,1,6
Vid-20260421-Wa0023_A001_B002_f0008,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0008_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0008_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0008,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0008_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0008_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0008,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0008_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0008_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0008,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0008_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0008_B.npy,Vid-20260421-Wa0023,848,480,1,5
Vid-20260421-Wa0023_A001_B006_f0008,C,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0008_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0008_B.npy,Vid-20260421-Wa0023,848,480,1,6
Vid-20260421-Wa0023_A001_B002_f0012,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0012_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0012_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0012,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0012_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0012_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0012,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0012_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0012_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0012,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0012_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0012_B.npy,Vid-20260421-Wa0023,848,480,1,5
Vid-20260421-Wa0023_A001_B006_f0012,C,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0012_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0012_B.npy,Vid-20260421-Wa0023,848,480,1,6
Vid-20260421-Wa0023_A001_B002_f0016,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0016_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0016_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0016,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0016_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0016_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0016,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0016_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0016_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0016,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0016_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0016_B.npy,Vid-20260421-Wa0023,848,480,1,5
Vid-20260421-Wa0023_A001_B006_f0016,C,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0016_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0016_B.npy,Vid-20260421-Wa0023,848,480,1,6
Vid-20260421-Wa0023_A001_B002_f0020,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0020_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0020_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0020,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0020_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0020_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0020,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0020_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0020_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0020,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0020_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0020_B.npy,Vid-20260421-Wa0023,848,480,1,5
Vid-20260421-Wa0023_A001_B006_f0020,C,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0020_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0020_B.npy,Vid-20260421-Wa0023,848,480,1,6
Vid-20260421-Wa0023_A001_B002_f0024,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0024_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0024_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0024,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0024_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0024_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0024,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0024_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0024_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0024,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0024_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0024_B.npy,Vid-20260421-Wa0023,848,480,1,5
Vid-20260421-Wa0023_A001_B006_f0024,C,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0024_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B006_f0024_B.npy,Vid-20260421-Wa0023,848,480,1,6
Vid-20260421-Wa0023_A001_B002_f0028,N,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0028_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B002_f0028_B.npy,Vid-20260421-Wa0023,848,480,1,2
Vid-20260421-Wa0023_A001_B003_f0028,N,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0028_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B003_f0028_B.npy,Vid-20260421-Wa0023,848,480,1,3
Vid-20260421-Wa0023_A001_B004_f0028,C,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0028_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B004_f0028_B.npy,Vid-20260421-Wa0023,848,480,1,4
Vid-20260421-Wa0023_A001_B005_f0028,C,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0028_A.npy,data\collab_cache\Vid-20260421-Wa0023_A001_B005_f0028_B.npy,Vid-20260421-Wa0023,848,480,1,5
